CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,SOMOS,UN,JACHAJAKISASOLFESORC,P.P.,AORA,NGP,PATRIA-ORURO,LIBRE,FRI,APB-SUMATE,A-UPP,PDC
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003251,1,7,9,5,33,3,8,12,6,15,0,6,9,4
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003261,2,7,11,5,30,1,5,10,15,17,1,4,7,6
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003271,3,6,13,3,18,1,9,11,8,15,0,0,6,5
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003281,4,6,11,5,24,5,4,7,12,17,2,7,7,2
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003291,5,7,4,2,31,1,6,3,14,16,0,3,2,4
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003301,6,7,12,2,29,3,14,10,8,26,1,2,7,4
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003321,8,1,2,1,5,0,0,0,1,2,0,0,0,1
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003441,1,8,16,4,19,3,11,26,11,8,1,1,7,3
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003481,5,8,14,1,23,4,6,19,12,15,1,4,3,7
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003491,6,11,13,1,24,3,9,7,7,5,1,1,8,4
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003501,7,5,17,6,36,0,10,12,8,13,0,0,7,3
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003511,8,9,9,2,33,1,16,17,10,5,1,3,6,5
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003521,9,8,10,2,21,2,23,14,8,10,1,3,3,5
