CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AORA,MTS,JACHAJAKISASOLFESORC,PDC,A-UPP,P.P.,NGP,LIBRE,SOMOS,JACHA MARKA T.C.A.,PATRIA-ORURO,S.A.M. CHALLAPATA,APB-SUMATE,SUMA,UQ,IOTAYAQUIRAMD,FRI,LEAL,UN,MCSFA
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003267,2,6,10,35,0,12,1,38,1,21,,11,,0,,,,3,13,7,7
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003277,3,13,20,42,1,7,0,36,9,17,,13,,0,,,,0,14,3,13
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003287,4,12,24,39,2,8,1,38,6,16,,9,,0,,,,2,14,4,5
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003297,5,12,16,44,1,8,2,43,3,17,,13,,0,,,,0,9,4,9
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003307,6,10,18,39,0,8,1,54,10,15,,13,,0,,,,0,8,4,10
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003327,8,0,0,6,0,0,0,3,3,2,,0,,0,,,,0,2,1,1
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003447,1,12,17,28,1,6,1,53,7,19,,14,,0,,,,1,6,3,9
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003467,3,13,18,26,2,8,4,62,4,13,,10,,0,,,,1,6,3,3
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003487,5,14,21,27,4,6,2,57,6,18,,7,,0,,,,1,5,2,8
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003497,6,15,21,24,2,8,1,52,2,13,,8,,0,,,,2,10,3,3
