CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,DESPIERTA,PATRIA-UNIDOS,TUFE,MNR,NGP,CPEM-B,A-UPP
1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,8000182,1,20,21,92,25,,3,3,
1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,8000192,2,17,20,69,23,,3,4,
1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,8000202,3,16,29,69,24,,2,3,
1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,8000212,4,1,2,7,2,,1,0,
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000222,1,14,29,89,17,,2,0,
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000232,2,17,30,78,17,,1,4,
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000242,3,14,25,83,21,,2,3,
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000252,4,11,35,72,28,,1,0,
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000262,5,11,25,96,14,,2,1,
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000272,6,10,17,80,27,,3,4,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000902,1,6,18,69,24,,4,4,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000912,2,11,18,74,24,,2,6,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000922,3,20,8,59,32,,4,5,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000932,4,12,23,73,25,,2,2,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000942,5,24,14,53,24,,4,3,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000952,6,19,22,83,25,,2,1,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000962,7,17,17,54,18,,6,5,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000972,8,8,19,57,27,,2,10,
