CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,SOLUCIONES-CON-TODOS,PATRIA-UNIDOS,LIBRE,MTS,UNIDOS-,NGP,PDC,FRI,A-UPP,APB-SUMATE
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002731,1,3,11,10,24,3,8,1,3,10,80
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002741,2,2,14,23,22,2,2,1,1,18,75
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002811,9,4,10,21,16,2,0,3,1,11,58
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002841,12,0,8,16,17,6,7,3,0,16,64
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002871,15,0,10,17,13,5,3,2,2,24,65
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002881,16,4,7,20,17,1,8,3,0,17,80
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001571,2,4,8,18,12,5,11,8,2,27,75
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001581,3,5,10,12,32,8,4,2,5,44,76
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001601,5,0,9,17,21,5,12,5,4,11,54
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001631,8,2,6,13,18,4,4,1,1,39,51
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001641,9,5,12,7,15,2,3,4,4,33,46
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001671,12,1,5,12,18,6,4,1,2,34,55
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001711,16,1,11,18,10,9,7,3,2,19,56
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001721,17,1,11,16,10,3,6,3,1,22,62
