CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,IH,JALLALLA LP,NGP,PATRIA-SOL,A-UPP,VENCEREMOS,VIDA,PDC,FRI,M.P.S.,UPC,ASP,APB-SUMATE,SPBC,MTS,LUS-1S,LIBRE,ASLP,ML,UN,MNR,SCTR-LP,MACOJMA,CAOSAM,PODER-O,SICUS,PATRIA-LA-PAZ,ASI,MCCA-NP,PUMA,T.S.,MK-PC,CAOTM
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2013967,10,67,23,1,,4,14,1,0,1,8,1,8,28,24,0,,4,18,,,,,,,,,0,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,401,U.E. Hugo Dávila A,2001397,9,40,9,1,,0,43,1,0,0,7,1,11,10,27,0,,7,35,,,,,,,,,8,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,504,U.E. Alfredo Vargas B,2014997,2,47,16,0,,4,29,2,1,1,13,0,14,17,23,0,,6,24,,,,,,,,,1,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,504,U.E. Alfredo Vargas B,2015007,3,37,15,0,,0,27,4,0,2,8,0,16,30,24,0,,4,28,,,,,,,,,9,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,505,Instituto Tecnológico Ayacucho,2002057,18,36,12,1,,0,45,1,0,0,7,0,15,18,23,0,,3,35,,,,,,,,,8,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,506,U.E.  Adolfo  Costa Du Rels,2014877,22,66,17,1,,2,10,2,0,2,11,1,10,14,34,5,,5,11,,,,,,,,,3,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,506,U.E.  Adolfo  Costa Du Rels,2014887,23,60,23,0,,2,15,2,2,1,9,1,10,17,34,1,,7,16,,,,,,,,,7,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,607,U.E.  La Merced B,2016197,33,33,15,0,,1,19,8,0,0,11,2,13,24,35,4,,1,8,,,,,,,,,10,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,608,U.E.  Irene Nava de Castillo B,2016517,30,47,13,0,,0,16,1,1,2,11,1,10,29,37,2,,1,24,,,,,,,,,2,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,802,U.E. Gral. José de San Martin,2018637,2,38,9,3,,0,34,0,1,1,9,3,11,20,22,2,,3,27,,,,,,,,,21,,,,,,
