CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AORA,MTS,JACHAJAKISASOLFESORC,PDC,A-UPP,NGP,LIBRE,SOMOS,JACHA MARKA T.C.A.,PATRIA-ORURO,P.P.,S.A.M. CHALLAPATA,APB-SUMATE,SUMA,UQ,IOTAYAQUIRAMD,FRI,LEAL,UN,MCSFA
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002327,15,5,14,17,2,5,34,10,18,,5,1,,0,,,,1,2,3,9
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002347,17,4,9,30,2,5,22,19,19,,5,0,,0,,,,1,5,3,8
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004567,8,4,7,15,2,8,35,14,18,,8,0,,1,,,,3,4,4,5
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004577,9,7,6,25,4,11,31,11,20,,9,4,,2,,,,0,9,4,8
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004587,10,6,4,22,4,2,22,7,24,,9,1,,4,,,,3,6,2,9
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004597,11,4,4,25,3,10,23,6,23,,9,1,,1,,,,1,9,1,5
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004607,12,9,1,27,1,4,35,13,17,,6,3,,1,,,,0,4,8,5
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004617,13,2,7,20,1,12,29,9,24,,11,3,,3,,,,2,4,2,12
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004627,14,0,3,20,3,8,30,16,20,,6,1,,2,,,,1,8,6,10
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000537,1,4,5,28,0,9,22,21,14,,10,1,,0,,,,2,8,10,15
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000547,2,5,3,34,1,2,21,22,18,,12,2,,0,,,,0,9,12,14
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000577,5,1,0,4,1,1,7,6,3,,2,0,,0,,,,0,4,3,2
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000647,1,3,2,28,2,8,32,18,13,,17,0,,2,,,,1,7,11,8
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000657,2,4,6,29,1,4,15,23,19,,21,0,,2,,,,0,1,15,11
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000667,3,1,5,22,4,6,34,19,22,,13,3,,1,,,,2,6,3,11
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000677,4,5,3,25,4,1,35,21,18,,18,1,,0,,,,1,7,14,8
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000687,5,1,6,23,1,7,27,20,24,,17,0,,2,,,,2,6,11,4
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000697,6,1,6,26,3,9,32,26,19,,16,2,,0,,,,1,2,8,8
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000707,7,0,2,8,1,1,5,8,3,,2,1,,0,,,,0,0,1,2
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006447,2,2,5,33,7,15,18,18,17,,7,1,,0,,,,3,8,18,7
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006457,3,3,8,33,1,10,25,18,12,,13,1,,3,,,,0,4,11,10
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006467,4,2,2,26,2,13,23,20,26,,17,1,,4,,,,0,3,16,12
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006487,6,2,7,38,2,14,30,13,17,,15,1,,0,,,,2,5,8,1
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006497,7,3,3,15,4,6,33,12,15,,19,1,,1,,,,7,3,4,7
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006507,8,1,3,30,2,9,23,19,18,,16,2,,1,,,,1,10,15,10
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006517,9,4,3,30,3,9,15,20,22,,14,5,,1,,,,1,7,5,10
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006527,10,4,7,44,3,5,27,17,20,,12,1,,2,,,,4,10,5,7
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006537,11,3,5,20,4,9,35,17,21,,20,1,,3,,,,2,1,11,6
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006547,12,3,4,39,3,7,28,16,14,,14,1,,0,,,,2,1,18,9
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006567,14,2,2,33,4,15,14,19,13,,13,1,,4,,,,2,3,13,9
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006577,15,1,1,17,1,4,2,0,7,,3,1,,0,,,,0,0,3,3
1,Cercado,1,Oruro,2059,Oruro,89,CEMEI,4006587,1,0,3,28,1,12,18,10,23,,15,1,,2,,,,2,6,13,16
1,Cercado,1,Oruro,2059,Oruro,89,CEMEI,4006597,2,3,4,23,2,14,20,23,18,,29,1,,1,,,,1,1,7,7
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006607,1,0,3,21,2,2,34,22,23,,13,3,,0,,,,4,2,11,9
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006617,2,1,8,29,0,4,34,10,29,,20,1,,1,,,,1,4,7,7
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006627,3,4,2,24,3,6,33,10,19,,18,0,,0,,,,0,6,10,12
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006637,4,0,3,23,1,7,27,10,29,,26,2,,0,,,,3,5,8,12
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006717,1,3,1,38,0,6,22,16,33,,11,4,,1,,,,2,6,3,9
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006727,2,4,11,22,1,8,25,10,20,,14,2,,3,,,,2,6,7,12
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006737,3,2,6,20,3,3,28,9,15,,19,3,,0,,,,2,5,10,19
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006747,4,2,5,30,3,4,21,20,20,,15,2,,1,,,,2,2,5,10
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006757,5,2,6,16,0,8,29,17,14,,16,1,,1,,,,1,7,9,5
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006767,6,4,3,34,0,9,15,12,27,,14,3,,1,,,,0,3,12,19
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006777,7,5,5,17,1,4,21,15,25,,20,1,,2,,,,1,9,6,17
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006787,8,3,4,11,0,1,13,7,6,,8,1,,1,,,,0,3,6,6
1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,4002737,3,13,1,15,3,3,13,6,3,,7,0,,4,,,,7,4,4,2
1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,4002747,4,5,1,3,2,3,2,5,1,,0,0,,0,,,,2,3,2,0
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002807,6,2,9,18,7,6,33,14,20,,14,1,,0,,,,0,8,5,12
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002817,7,6,4,23,1,11,32,15,17,,12,0,,0,,,,4,3,9,10
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002827,8,3,7,21,1,5,33,9,26,,12,1,,0,,,,1,6,1,12
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002837,9,3,9,18,2,9,33,17,23,,11,1,,0,,,,2,9,5,8
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002847,10,2,8,25,3,6,24,8,18,,6,1,,0,,,,3,3,6,12
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002857,11,7,7,31,1,4,28,12,16,,13,0,,0,,,,2,6,10,10
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002867,12,3,8,22,5,2,27,11,28,,7,0,,0,,,,1,4,16,7
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002887,14,5,15,23,4,3,19,13,15,,11,1,,0,,,,2,9,10,15
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002897,15,4,8,29,3,3,29,8,13,,23,1,,0,,,,2,6,4,11
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002907,16,3,7,19,4,6,25,11,26,,16,1,,0,,,,1,6,9,11
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002927,1,1,6,24,5,3,30,12,18,,17,1,,6,,,,0,4,3,10
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002937,2,2,3,27,3,11,33,13,18,,19,2,,0,,,,1,5,6,7
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002947,3,2,8,27,1,8,26,7,20,,16,2,,3,,,,1,6,3,9
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002967,5,2,3,29,2,4,26,13,20,,11,3,,4,,,,2,3,7,6
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002977,6,1,8,20,4,5,25,17,27,,15,1,,0,,,,1,7,13,16
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000717,1,5,2,24,1,2,26,18,32,,15,0,,0,,,,0,5,4,12
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000727,2,7,7,32,5,8,27,11,20,,16,0,,1,,,,1,6,7,14
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000737,3,6,5,27,1,10,25,14,15,,19,1,,1,,,,0,5,9,11
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000747,4,4,5,32,2,13,21,18,26,,8,1,,2,,,,2,1,6,10
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000757,5,2,11,23,1,10,30,13,18,,12,1,,3,,,,2,3,10,11
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000767,6,3,5,19,1,8,27,15,23,,12,0,,4,,,,4,3,10,9
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000787,8,4,2,27,1,10,28,13,26,,7,1,,2,,,,0,6,7,11
