CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,8000182,1,240,162,43,3,208,162,208
1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,8000192,2,240,126,49,14,189,126,189
1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,8000202,3,240,133,53,21,207,133,207
1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,8000212,4,22,9,5,1,15,9,15
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000222,1,240,150,38,5,193,150,193
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000232,2,240,150,32,14,196,150,196
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000242,3,240,147,36,7,190,147,190
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000252,4,240,137,42,8,187,137,187
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000262,5,240,160,33,4,197,160,197
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000272,6,239,132,44,3,179,132,179
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000902,1,240,122,68,5,195,122,195
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000912,2,240,137,49,9,195,137,195
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000922,3,240,121,70,12,203,121,203
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000932,4,240,133,57,6,196,133,196
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000942,5,240,112,76,8,196,112,196
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000952,6,240,137,55,13,205,137,205
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000962,7,240,128,58,10,196,128,196
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000972,8,240,121,71,6,198,121,198
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000982,9,240,121,68,7,196,121,196
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000992,10,240,126,72,12,210,126,210
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001002,11,240,110,66,10,186,110,186
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001012,12,240,137,66,8,211,137,211
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001022,13,240,113,61,13,187,113,187
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001032,14,240,114,69,5,188,114,188
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001042,15,240,134,48,10,192,134,192
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001052,16,240,118,62,8,188,118,188
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001062,17,240,129,65,5,199,129,199
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001072,18,240,143,40,8,191,143,191
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001082,19,152,83,33,8,124,83,124
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001612,1,240,131,57,1,189,131,189
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001622,2,240,120,73,3,196,120,196
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001632,3,240,133,54,7,194,133,194
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001642,4,240,112,65,3,180,112,180
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001652,5,240,140,52,5,197,140,197
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001662,6,240,138,55,12,205,138,205
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001672,7,240,105,66,16,187,105,187
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001682,8,240,114,62,8,184,114,184
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001692,9,240,137,56,7,200,137,200
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001702,10,240,127,66,5,198,127,198
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001712,11,240,124,70,6,200,124,200
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001722,12,244,129,62,5,196,129,196
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001732,1,240,154,56,2,212,154,212
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001742,2,240,131,57,7,195,131,195
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001752,3,240,145,57,7,209,145,209
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001762,4,240,131,54,9,194,131,194
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001772,5,240,128,66,4,198,128,198
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001782,6,240,141,63,10,214,141,214
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001792,7,240,135,56,6,197,135,197
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001802,8,240,131,69,5,205,131,205
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001812,9,240,146,40,5,191,146,191
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001822,10,193,100,43,8,151,100,151
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000572,1,240,137,66,4,207,137,207
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000582,2,240,129,66,11,206,129,206
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000592,3,240,137,61,4,202,137,202
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000602,4,240,138,65,9,212,138,212
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000612,5,240,142,50,7,199,142,199
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000622,6,240,147,57,7,211,147,211
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000632,7,240,164,45,9,218,164,218
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000642,8,240,152,46,4,202,152,202
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000652,9,240,136,65,7,208,136,208
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000662,10,216,143,35,7,185,143,185
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002162,1,240,159,44,3,206,159,206
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002172,2,240,142,63,13,218,142,218
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002182,3,240,140,54,8,202,140,202
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002192,4,240,130,62,3,195,130,195
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002202,5,240,141,61,7,209,141,209
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002212,6,229,144,51,11,206,144,206
1,Cercado,1,Trinidad,2526,Trinidad,10,U.E. Hormando Ortiz Chávez,8002462,1,240,139,53,8,200,139,200
1,Cercado,1,Trinidad,2526,Trinidad,10,U.E. Hormando Ortiz Chávez,8002472,2,240,152,36,9,197,152,197
1,Cercado,1,Trinidad,2526,Trinidad,10,U.E. Hormando Ortiz Chávez,8002482,3,237,130,52,6,188,130,188
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001882,1,240,150,50,5,205,150,205
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001892,2,240,163,43,8,214,163,214
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001902,3,240,137,56,5,198,137,198
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001912,4,240,152,53,5,210,152,210
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001922,5,240,148,50,4,202,148,202
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001932,6,240,138,66,4,208,138,208
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001942,7,240,145,57,3,205,145,205
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001952,8,240,140,55,7,202,140,202
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001962,9,240,120,67,5,192,120,192
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001972,10,240,121,61,11,193,121,193
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001982,11,240,142,60,3,205,142,205
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001992,12,240,128,58,3,189,128,189
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8002002,13,224,120,50,6,176,120,176
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003292,1,240,148,47,5,200,148,200
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003302,2,240,142,52,7,201,142,201
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003312,3,240,128,60,16,204,128,204
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003322,4,240,130,55,8,193,130,193
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003332,5,240,150,46,3,199,150,199
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003342,6,240,135,54,5,194,135,194
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003352,7,240,142,67,3,212,142,212
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003362,8,240,133,63,3,199,133,199
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003372,9,240,132,65,2,199,132,199
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003382,10,240,143,53,5,201,143,201
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003392,11,240,143,56,3,202,143,202
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003402,12,240,141,59,5,205,141,205
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003412,13,28,19,5,0,24,19,24
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002522,1,240,150,45,8,203,150,203
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002532,2,240,149,56,5,210,149,210
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002542,3,240,136,54,18,208,136,208
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002552,4,240,139,46,17,202,139,202
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002562,5,240,146,37,14,197,146,197
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002572,6,111,75,19,1,95,75,95
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000672,1,240,126,63,10,199,126,199
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000682,2,240,129,58,6,193,129,193
