CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PDC,VENCEREMOS,JALLALLA LP,IH,PATRIA-SOL,SPBC,ASLP,A-UPP,UPC,LIBRE,NGP,MTS,FRI,M.P.S.,ASP,VIDA,APB-SUMATE
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012331,13,4,14,3,31,32,8,18,7,1,19,2,8,1,0,4,0,8
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012601,9,5,11,4,23,37,7,12,4,1,17,7,8,2,8,2,2,7
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012611,10,5,13,4,19,35,4,14,3,4,18,11,8,5,3,5,5,3
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2013871,1,5,14,8,41,22,8,14,3,3,7,7,10,1,8,5,4,1
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014031,17,5,9,4,29,39,9,18,3,8,10,6,4,5,4,7,5,3
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,205,U. E. Sergio Suarez Figueroa,2013661,29,4,11,1,32,39,5,16,2,4,13,6,10,5,4,4,5,6
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,205,U. E. Sergio Suarez Figueroa,2013681,31,3,7,6,37,24,4,10,5,6,12,6,9,9,9,2,3,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,205,U. E. Sergio Suarez Figueroa,2013691,32,2,14,4,30,29,8,13,5,5,16,3,11,7,3,3,7,8
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,302,U. E. Americana,2014371,6,5,11,10,12,50,6,12,0,2,16,2,3,2,5,3,2,0
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,308,U. E. Santa Ana II,2000201,2,5,29,3,19,55,1,16,1,2,14,5,3,3,3,1,5,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,401,U.E. Hugo Dávila A,2001391,9,8,18,3,20,67,6,14,3,3,19,1,1,9,1,3,4,1
