CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,A-UPP,APB-SUMATE,PATRIA,MTS,NGP,CDC,PDC,ISA
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001051,11,3,2,77,13,3,72,17,3
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001061,12,1,1,73,11,10,82,19,0
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001081,14,0,0,13,2,1,14,2,0
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002091,3,5,0,79,5,7,63,25,3
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002101,4,5,0,62,8,3,76,21,8
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002111,5,1,0,84,6,6,68,29,6
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002121,6,6,3,55,15,10,73,24,5
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002131,7,3,4,66,13,13,64,28,6
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002141,8,5,0,66,10,7,63,23,4
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002151,9,3,2,55,7,2,87,26,7
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002161,10,0,1,78,8,15,61,16,4
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002171,11,3,4,66,13,8,63,34,1
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002181,12,2,4,35,11,6,36,17,2
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001451,1,2,2,74,9,4,73,23,3
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001471,3,1,0,78,7,6,74,26,3
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001481,4,3,0,75,7,14,71,24,2
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001491,5,3,3,73,15,7,71,17,7
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001501,6,0,0,87,12,6,71,9,1
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001511,7,1,0,56,9,5,65,16,3
1,Cercado,1,Tarija,2680,Tarija,56,U.E. Narciso Campero,6000911,1,2,2,62,11,5,90,15,1
1,Cercado,1,Tarija,2680,Tarija,56,U.E. Narciso Campero,6000921,2,0,3,92,3,2,78,19,2
1,Cercado,1,Tarija,2680,Tarija,56,U.E. Narciso Campero,6000941,4,2,1,69,4,2,66,7,1
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002841,1,17,0,51,8,16,45,20,12
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002851,2,8,2,51,4,12,30,27,9
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002861,3,15,2,44,2,6,49,27,9
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002871,4,15,1,54,6,11,34,30,11
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002881,5,11,4,44,7,9,48,28,12
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002891,6,19,4,46,8,16,30,29,16
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002901,7,9,2,43,13,17,34,40,14
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002911,8,14,4,49,9,12,41,20,12
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002921,9,16,4,43,8,19,48,19,14
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002931,10,7,1,65,9,16,41,20,9
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002941,11,8,1,53,7,18,35,26,23
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002951,12,10,3,40,6,15,36,21,13
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002961,13,4,3,49,10,15,45,35,14
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002971,14,8,2,56,13,7,45,22,20
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002981,15,8,1,61,6,10,43,33,9
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002991,16,11,2,56,8,10,42,27,12
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6003001,17,11,2,53,15,13,37,29,14
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6003011,18,5,4,52,6,8,38,30,15
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6003021,19,5,0,20,2,6,17,18,1
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002321,1,10,2,59,16,18,48,11,7
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002331,2,5,3,51,15,12,53,25,12
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002371,6,8,3,47,9,12,55,19,11
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002381,7,10,4,66,17,10,39,29,10
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002391,8,11,3,51,14,13,50,25,6
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002401,9,5,3,63,11,15,48,28,10
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002411,10,7,2,54,10,15,34,31,13
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002421,11,8,2,61,16,14,45,26,10
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002431,12,6,1,48,14,8,43,34,13
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002451,14,7,3,49,11,17,43,31,8
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002461,15,3,3,53,15,9,41,29,4
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002471,16,9,3,61,11,12,43,27,7
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002481,17,5,1,53,8,11,62,25,12
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002491,18,3,0,54,19,16,48,21,12
1,Cercado,1,Tarija,2680,Tarija,69,U.E. Liceo Campero,6001291,1,1,2,60,14,5,82,17,2
1,Cercado,1,Tarija,2680,Tarija,69,U.E. Liceo Campero,6001301,2,2,1,63,13,7,81,15,5
1,Cercado,1,Tarija,2680,Tarija,69,U.E. Liceo Campero,6001311,3,5,1,69,13,2,79,18,1
1,Cercado,1,Tarija,2680,Tarija,69,U.E. Liceo Campero,6001331,5,0,1,65,10,6,90,21,1
1,Cercado,1,Tarija,2680,Tarija,69,U.E. Liceo Campero,6001341,6,0,0,27,4,1,34,8,0
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005261,2,2,2,71,7,6,83,17,3
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005271,3,3,2,71,5,5,72,26,2
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005281,4,12,1,57,16,8,56,31,2
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005301,6,1,7,82,7,12,59,21,5
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005311,7,2,1,53,16,11,74,21,4
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005331,9,1,2,71,17,9,62,19,4
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005341,10,3,3,83,8,7,60,24,2
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005351,11,3,3,98,7,7,56,15,2
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005361,12,4,3,66,9,8,77,22,3
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005371,13,6,2,74,8,6,81,21,1
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005381,14,1,2,54,9,6,72,26,1
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004611,1,3,3,72,13,7,60,27,4
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004621,2,3,1,66,4,15,77,19,8
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004631,3,4,1,74,9,6,63,26,2
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004651,5,4,4,55,7,11,70,32,4
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004661,6,9,3,58,20,7,67,24,2
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004671,7,7,3,71,11,5,67,26,6
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004691,9,4,1,51,14,3,75,31,4
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004701,10,5,2,78,5,5,71,27,4
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004721,12,2,5,61,5,10,82,25,5
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004731,13,5,1,70,15,6,67,23,4
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004741,14,7,2,72,18,8,68,15,2
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004751,15,8,2,72,11,11,57,21,6
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004761,16,6,3,77,9,10,61,20,1
1,Cercado,1,Tarija,2680,Tarija,71,U.E. Esteban Migliaci,6004771,17,0,0,7,2,0,8,1,2
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004091,1,3,5,71,9,9,81,19,2
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004101,2,0,0,70,13,6,74,20,2
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004111,3,1,0,70,10,5,82,20,2
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004121,4,1,2,82,11,7,69,23,5
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004131,5,3,5,72,9,14,52,23,2
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004141,6,1,0,64,7,3,88,18,3
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004151,7,1,2,86,13,5,76,23,1
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004161,8,3,0,79,8,6,75,21,1
