CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,SOMOS,UN,JACHAJAKISASOLFESORC,P.P.,AORA,NGP,PATRIA-ORURO,LIBRE,FRI,APB-SUMATE,A-UPP,PDC
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000701,7,3,0,1,13,1,0,3,6,9,0,1,2,1
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000711,1,9,12,4,66,5,9,15,25,15,2,3,8,5
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000721,2,8,6,9,66,2,11,7,30,11,1,5,14,10
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000731,3,7,7,5,62,6,6,11,26,15,4,4,15,5
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000741,4,5,14,8,57,3,6,17,18,20,2,7,16,7
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000751,5,13,12,10,50,3,15,14,19,22,4,8,11,4
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000761,6,9,8,8,52,9,7,15,20,17,3,5,14,3
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000771,7,7,15,9,52,1,21,19,26,11,2,1,11,6
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000781,8,4,7,7,66,5,11,13,12,21,2,2,21,5
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000791,9,11,12,7,52,4,11,9,29,15,3,9,10,7
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000801,10,5,8,5,73,3,13,19,24,14,3,4,11,4
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000811,11,5,10,6,60,6,10,17,22,23,2,10,10,5
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000821,12,3,6,4,36,4,5,8,14,5,1,1,11,2
1,Cercado,1,Oruro,2059,Oruro,104,Col. Mixto San Jose,4000831,1,5,14,7,48,4,10,7,29,19,2,8,19,4
1,Cercado,1,Oruro,2059,Oruro,104,Col. Mixto San Jose,4000841,2,7,7,13,56,6,10,10,32,11,1,4,13,5
1,Cercado,1,Oruro,2059,Oruro,104,Col. Mixto San Jose,4000851,3,1,7,9,52,5,9,16,19,17,3,1,14,8
1,Cercado,1,Oruro,2059,Oruro,104,Col. Mixto San Jose,4000861,4,7,11,10,50,6,3,8,36,21,3,5,13,3
1,Cercado,1,Oruro,2059,Oruro,104,Col. Mixto San Jose,4000871,5,2,2,5,17,1,2,3,14,8,0,2,3,4
1,Cercado,1,Oruro,2059,Oruro,117,U. Esc. Luis Llosa   España,4000881,1,4,7,6,63,3,10,17,25,22,2,2,15,3
1,Cercado,1,Oruro,2059,Oruro,117,U. Esc. Luis Llosa   España,4000891,2,9,8,8,59,5,7,19,22,18,1,4,15,1
1,Cercado,1,Oruro,2059,Oruro,117,U. Esc. Luis Llosa   España,4000901,3,8,11,5,46,6,11,9,29,27,1,7,11,3
1,Cercado,1,Oruro,2059,Oruro,117,U. Esc. Luis Llosa   España,4000911,4,3,7,6,73,7,5,5,24,20,2,3,13,4
1,Cercado,1,Oruro,2059,Oruro,117,U. Esc. Luis Llosa   España,4000921,5,2,5,3,34,2,1,3,6,0,0,1,4,0
1,Cercado,1,Oruro,2059,Oruro,120,U. E. Eduardo Avaroa,4001051,1,7,13,7,60,3,7,4,31,29,1,3,11,6
1,Cercado,1,Oruro,2059,Oruro,120,U. E. Eduardo Avaroa,4001061,2,7,9,9,62,1,8,9,29,18,1,4,14,4
1,Cercado,1,Oruro,2059,Oruro,120,U. E. Eduardo Avaroa,4001071,3,7,2,11,67,1,8,12,17,23,1,5,11,7
1,Cercado,1,Oruro,2059,Oruro,120,U. E. Eduardo Avaroa,4001081,4,2,8,8,70,8,6,8,29,22,0,1,13,4
1,Cercado,1,Oruro,2059,Oruro,120,U. E. Eduardo Avaroa,4001091,5,0,2,2,17,0,1,5,4,3,0,1,6,2
1,Cercado,1,Oruro,2059,Oruro,25045,U.E. Particular Arrieta,4001101,1,4,9,8,53,7,11,8,20,30,1,2,14,0
1,Cercado,1,Oruro,2059,Oruro,25045,U.E. Particular Arrieta,4001111,2,5,4,8,46,2,3,6,19,19,2,2,9,3
1,Cercado,1,Oruro,2059,Oruro,31007,U.E. Pantaleon Dalence 1,4001171,2,6,6,13,63,4,11,17,18,24,3,4,9,5
1,Cercado,1,Oruro,2059,Oruro,31007,U.E. Pantaleon Dalence 1,4001191,4,5,9,6,70,8,3,10,33,17,2,2,18,2
1,Cercado,1,Oruro,2059,Oruro,31007,U.E. Pantaleon Dalence 1,4001201,5,7,5,4,67,4,3,12,30,22,0,4,13,8
1,Cercado,1,Oruro,2059,Oruro,31007,U.E. Pantaleon Dalence 1,4001211,6,9,7,9,49,4,7,10,21,25,0,6,16,8
1,Cercado,1,Oruro,2059,Oruro,31001,U.E.  Ildefonso Murguia,4001341,1,5,12,9,49,9,11,17,15,19,2,5,12,8
1,Cercado,1,Oruro,2059,Oruro,31001,U.E.  Ildefonso Murguia,4001351,2,7,11,4,53,7,10,3,34,17,2,0,13,3
1,Cercado,1,Oruro,2059,Oruro,31001,U.E.  Ildefonso Murguia,4001361,3,7,8,5,59,3,9,13,24,22,2,5,19,5
1,Cercado,1,Oruro,2059,Oruro,31001,U.E.  Ildefonso Murguia,4001371,4,9,7,4,44,3,8,12,27,18,5,1,23,5
1,Cercado,1,Oruro,2059,Oruro,31001,U.E.  Ildefonso Murguia,4001391,6,9,11,11,48,5,8,13,23,18,3,6,16,6
1,Cercado,1,Oruro,2059,Oruro,31001,U.E.  Ildefonso Murguia,4001401,7,6,7,9,48,2,9,14,23,22,3,4,19,5
1,Cercado,1,Oruro,2059,Oruro,31001,U.E.  Ildefonso Murguia,4001411,8,3,10,6,52,4,6,12,24,16,3,4,13,4
1,Cercado,1,Oruro,2059,Oruro,114,U. E. Mcal. Antonio Jose De Sucre,4001421,1,8,6,10,49,9,4,8,20,22,0,4,9,4
1,Cercado,1,Oruro,2059,Oruro,114,U. E. Mcal. Antonio Jose De Sucre,4001431,2,6,7,15,63,3,10,7,26,14,1,3,19,1
1,Cercado,1,Oruro,2059,Oruro,114,U. E. Mcal. Antonio Jose De Sucre,4001441,3,5,16,2,67,5,11,13,15,13,2,2,7,4
1,Cercado,1,Oruro,2059,Oruro,114,U. E. Mcal. Antonio Jose De Sucre,4001451,4,7,8,11,57,2,12,13,18,15,5,2,12,7
1,Cercado,1,Oruro,2059,Oruro,114,U. E. Mcal. Antonio Jose De Sucre,4001461,5,4,13,1,54,7,10,10,25,21,0,5,13,8
1,Cercado,1,Oruro,2059,Oruro,116,U. E. Anglo Americano,4001611,1,6,10,10,50,6,5,13,31,21,0,3,14,7
1,Cercado,1,Oruro,2059,Oruro,116,U. E. Anglo Americano,4001621,2,5,9,6,62,4,8,8,21,16,3,12,11,4
1,Cercado,1,Oruro,2059,Oruro,116,U. E. Anglo Americano,4001631,3,5,9,14,40,4,13,13,15,25,1,2,18,7
1,Cercado,1,Oruro,2059,Oruro,116,U. E. Anglo Americano,4001641,4,10,9,9,55,8,8,10,17,27,1,7,11,4
1,Cercado,1,Oruro,2059,Oruro,116,U. E. Anglo Americano,4001651,5,8,6,5,42,2,4,11,22,20,3,2,8,7
1,Cercado,1,Oruro,2059,Oruro,31005,U.E. Nuestra Señora del Socavón 1,4001731,1,11,10,9,66,3,9,21,21,14,0,3,11,4
1,Cercado,1,Oruro,2059,Oruro,31005,U.E. Nuestra Señora del Socavón 1,4001751,3,11,10,5,43,2,11,18,20,33,1,7,9,2
1,Cercado,1,Oruro,2059,Oruro,31005,U.E. Nuestra Señora del Socavón 1,4001761,4,6,7,9,54,5,11,17,20,29,3,1,13,9
1,Cercado,1,Oruro,2059,Oruro,31005,U.E. Nuestra Señora del Socavón 1,4001771,5,5,11,14,52,3,2,8,19,27,3,3,12,10
1,Cercado,1,Oruro,2059,Oruro,31005,U.E. Nuestra Señora del Socavón 1,4001781,6,8,8,5,57,5,7,11,16,34,0,5,6,3
1,Cercado,1,Oruro,2059,Oruro,32407,U.E. Rodolfo Soria Galvarro,4001791,1,9,4,9,60,6,7,6,23,19,3,2,15,9
1,Cercado,1,Oruro,2059,Oruro,32407,U.E. Rodolfo Soria Galvarro,4001801,2,4,17,6,68,4,11,12,21,20,3,1,8,5
1,Cercado,1,Oruro,2059,Oruro,32407,U.E. Rodolfo Soria Galvarro,4001811,3,7,6,17,68,4,7,12,17,20,0,4,8,5
1,Cercado,1,Oruro,2059,Oruro,32407,U.E. Rodolfo Soria Galvarro,4001821,4,2,2,4,19,1,3,2,2,5,2,1,3,0
1,Cercado,1,Oruro,2059,Oruro,25046,U.E. Marcelo Quiroga Santa Cruz,4001891,1,18,12,4,53,5,8,15,24,10,2,4,8,5
1,Cercado,1,Oruro,2059,Oruro,25046,U.E. Marcelo Quiroga Santa Cruz,4001901,2,11,16,3,40,9,10,14,20,8,3,2,15,9
1,Cercado,1,Oruro,2059,Oruro,25046,U.E. Marcelo Quiroga Santa Cruz,4001911,3,8,16,1,58,6,18,9,19,10,2,4,13,4
1,Cercado,1,Oruro,2059,Oruro,25046,U.E. Marcelo Quiroga Santa Cruz,4001921,4,8,10,5,53,4,14,15,24,7,1,1,9,2
1,Cercado,1,Oruro,2059,Oruro,25046,U.E. Marcelo Quiroga Santa Cruz,4001931,5,13,15,4,51,3,13,15,11,5,2,3,11,9
1,Cercado,1,Oruro,2059,Oruro,25046,U.E. Marcelo Quiroga Santa Cruz,4001941,6,11,15,4,50,2,12,19,21,6,3,3,10,6
1,Cercado,1,Oruro,2059,Oruro,25046,U.E. Marcelo Quiroga Santa Cruz,4001961,8,10,7,1,55,5,10,22,17,10,1,4,9,13
1,Cercado,1,Oruro,2059,Oruro,25046,U.E. Marcelo Quiroga Santa Cruz,4001971,9,12,16,5,45,14,11,17,9,13,2,2,16,6
1,Cercado,1,Oruro,2059,Oruro,25046,U.E. Marcelo Quiroga Santa Cruz,4001981,10,12,13,2,41,8,9,17,19,9,2,4,6,6
