CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PATRIA,MTS,NGP,CDC,PDC,ISA,APB-SUMATE,A-UPP
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000821,1,67,7,2,69,10,2,,1
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000831,2,57,9,2,76,13,1,,2
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000841,3,61,8,5,69,11,1,,1
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000861,5,62,8,3,65,16,0,,2
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000871,6,70,4,3,72,13,0,,1
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000881,7,52,3,7,65,16,3,,5
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000891,8,68,12,1,69,7,1,,1
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000901,9,33,5,1,48,13,2,,2
1,Cercado,1,Tarija,2680,Tarija,56,U.E. Narciso Campero,6000921,2,75,1,1,73,13,2,,1
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000951,1,59,6,1,80,17,5,,3
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000961,2,55,8,4,66,21,2,,0
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000971,3,56,6,10,65,13,1,,1
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000981,4,50,4,7,84,16,1,,0
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000991,5,60,10,6,85,18,2,,4
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001001,6,53,3,3,85,3,4,,2
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001011,7,52,7,7,65,16,2,,2
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001021,8,41,3,7,74,13,3,,2
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001031,9,57,9,4,61,23,3,,0
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001041,10,52,9,3,68,17,2,,2
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001051,11,67,10,3,71,7,5,,2
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001061,12,63,10,5,75,14,1,,1
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001081,14,8,1,1,14,2,0,,0
1,Cercado,1,Tarija,2680,Tarija,31055,Coliseo San Roque,6001091,1,41,7,4,61,19,5,,4
1,Cercado,1,Tarija,2680,Tarija,31055,Coliseo San Roque,6001101,2,46,12,4,63,19,3,,1
1,Cercado,1,Tarija,2680,Tarija,31055,Coliseo San Roque,6001161,8,56,5,5,61,13,5,,2
1,Cercado,1,Tarija,2680,Tarija,31055,Coliseo San Roque,6001191,11,25,3,2,14,5,0,,1
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001201,1,62,6,1,76,9,1,,4
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001211,2,48,7,3,68,8,1,,3
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001221,3,44,7,4,93,21,0,,1
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001231,4,42,9,3,84,19,2,,1
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001251,6,61,9,5,68,14,1,,2
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001261,7,52,2,4,79,17,0,,3
1,Cercado,1,Tarija,2680,Tarija,69,U.E. Liceo Campero,6001331,5,55,5,7,74,17,3,,0
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001351,1,58,7,1,66,20,2,,0
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001361,2,57,3,6,70,14,0,,1
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001371,3,47,10,7,54,18,6,,2
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001381,4,62,5,6,61,25,2,,1
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001391,5,69,4,8,63,13,2,,3
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001401,6,56,1,3,68,22,1,,1
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001421,8,49,6,3,72,18,4,,2
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001481,4,43,9,13,69,15,2,,2
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001521,1,56,4,6,74,18,4,,1
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001561,5,55,10,6,67,24,3,,2
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001571,6,46,8,9,48,21,7,,0
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001591,8,71,10,7,59,25,2,,2
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001601,9,59,9,2,67,21,1,,0
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001621,11,55,5,4,46,21,5,,1
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001631,12,67,11,5,58,15,1,,3
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001641,13,50,7,4,54,16,3,,1
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001651,14,41,13,3,61,22,4,,4
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001661,15,59,7,5,56,18,3,,0
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001671,16,58,10,1,69,9,1,,0
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001681,17,54,4,5,66,20,0,,1
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001691,18,51,7,5,69,19,3,,1
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001701,19,52,11,5,64,10,4,,1
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001711,20,46,15,7,64,18,3,,0
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001721,21,58,10,2,66,17,3,,1
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001731,22,47,11,6,67,18,0,,2
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001741,23,52,9,5,58,24,3,,0
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001751,24,55,10,6,66,20,1,,0
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001771,26,59,3,6,43,19,0,,2
1,Cercado,1,Tarija,2680,Tarija,100,C.E.B.A.,6001781,1,48,8,11,41,16,6,,6
1,Cercado,1,Tarija,2680,Tarija,100,C.E.B.A.,6001791,2,51,6,3,36,20,10,,7
1,Cercado,1,Tarija,2680,Tarija,100,C.E.B.A.,6001801,3,38,8,9,39,16,6,,2
1,Cercado,1,Tarija,2680,Tarija,100,C.E.B.A.,6001811,4,23,7,6,32,21,5,,6
1,Cercado,1,Tarija,2680,Tarija,100,C.E.B.A.,6001821,5,39,7,7,53,17,5,,7
1,Cercado,1,Tarija,2680,Tarija,100,C.E.B.A.,6001831,6,34,10,12,47,9,6,,3
1,Cercado,1,Tarija,2680,Tarija,100,C.E.B.A.,6001841,7,40,10,8,39,15,11,,4
1,Cercado,1,Tarija,2680,Tarija,100,C.E.B.A.,6001851,8,38,8,9,53,17,9,,4
1,Cercado,1,Tarija,2680,Tarija,100,C.E.B.A.,6001861,9,29,6,3,49,20,8,,3
1,Cercado,1,Tarija,2680,Tarija,100,C.E.B.A.,6001871,10,6,2,1,6,4,2,,0
1,Cercado,1,Tarija,2680,Tarija,32460,U.E. Jesús Buen Pastor,6001931,1,42,13,8,56,20,7,,2
1,Cercado,1,Tarija,2680,Tarija,32460,U.E. Jesús Buen Pastor,6001941,2,37,9,6,44,6,4,,7
1,Cercado,1,Tarija,2680,Tarija,32460,U.E. Jesús Buen Pastor,6001951,3,40,5,12,43,16,2,,3
1,Cercado,1,Tarija,2680,Tarija,32460,U.E. Jesús Buen Pastor,6001961,4,52,12,2,45,21,2,,0
1,Cercado,1,Tarija,2680,Tarija,32460,U.E. Jesús Buen Pastor,6001971,5,15,7,3,25,8,6,,0
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002091,3,50,9,5,55,14,1,,5
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002101,4,47,4,4,61,18,5,,2
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002111,5,59,4,4,67,27,4,,0
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002121,6,42,8,9,63,19,4,,3
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002131,7,54,9,11,51,17,3,,4
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002141,8,58,5,7,58,16,4,,3
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002151,9,40,8,3,75,20,3,,3
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002161,10,54,9,7,54,8,2,,2
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002171,11,45,6,5,55,23,1,,2
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002181,12,26,8,2,32,12,1,,1
1,Cercado,1,Tarija,2680,Tarija,85,U.E. Fe y Alegria,6002311,13,23,3,4,21,6,1,,3
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002401,9,40,8,9,41,22,7,,4
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002411,10,41,5,7,24,22,10,,4
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002421,11,47,15,8,35,17,11,,6
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002431,12,34,10,3,34,31,5,,2
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002461,15,34,13,5,37,28,5,,5
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002471,16,34,5,6,40,21,5,,6
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002481,17,39,6,11,49,26,8,,1
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002491,18,35,15,11,36,23,6,,1
1,Cercado,1,Tarija,2680,Tarija,94,U.E. Eulogio Ruiz,6002511,2,28,11,7,56,19,2,,4
1,Cercado,1,Tarija,2680,Tarija,94,U.E. Eulogio Ruiz,6002521,3,38,5,9,25,23,5,,5
1,Cercado,1,Tarija,2680,Tarija,94,U.E. Eulogio Ruiz,6002531,4,39,8,8,42,34,4,,7
