CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,DEMOCRATAS,PDC,ISA,CDC,T,UNIR,PATRIA,AIR,NGP,SOMOSCHACO,MATE,APB-SUMATE,A-UPP,FAU,CCGT
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000017,1,6,0,20,6,,93,0,37,,0,,,,7,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000027,2,8,0,23,4,,95,0,48,,2,,,,9,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000037,3,9,0,20,4,,96,0,36,,4,,,,4,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000047,4,3,0,24,9,,88,0,36,,4,,,,6,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000057,5,5,0,27,4,,78,0,45,,3,,,,6,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000067,6,7,0,26,4,,78,0,38,,2,,,,2,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000077,7,6,0,16,3,,89,0,39,,2,,,,6,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000087,8,7,0,26,8,,73,0,36,,1,,,,11,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000107,10,5,0,21,6,,92,0,50,,4,,,,4,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000117,11,2,0,21,6,,87,0,52,,1,,,,4,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000127,12,3,0,26,4,,90,0,25,,2,,,,6,,
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000317,1,5,0,16,5,,85,0,40,,4,,,,5,,
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000327,2,2,0,13,3,,99,0,46,,1,,,,3,,
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000337,3,5,0,19,1,,84,0,52,,0,,,,6,,
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000347,4,5,0,12,5,,94,0,48,,7,,,,3,,
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000357,5,4,0,11,2,,100,0,58,,4,,,,3,,
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000367,6,1,0,6,0,,52,0,10,,0,,,,1,,
1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,6000397,3,21,0,12,10,,67,0,27,,2,,,,3,,
1,Cercado,1,Tarija,1880,Pampa Redonda Centro,1,U.E. Luis De Fuentes,6000457,1,4,0,10,6,,74,0,33,,2,,,,1,,
1,Cercado,1,Tarija,1880,Pampa Redonda Centro,1,U.E. Luis De Fuentes,6000467,2,3,0,7,1,,67,0,30,,0,,,,4,,
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000477,1,7,0,15,5,,74,0,27,,6,,,,7,,
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000487,2,6,0,24,8,,59,0,38,,3,,,,3,,
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000497,3,7,0,11,3,,78,0,39,,7,,,,8,,
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000507,4,1,0,18,2,,74,0,30,,7,,,,5,,
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000517,5,6,0,25,10,,66,0,30,,10,,,,4,,
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000527,6,3,0,22,7,,75,0,22,,8,,,,4,,
