CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
1,Oropeza,1,Sucre,2794,Sucre,101,Colegio Junin,1001097,1,240,191,8,8,207,191,207
1,Oropeza,1,Sucre,2794,Sucre,101,Colegio Junin,1001107,2,240,178,3,20,201,178,201
1,Oropeza,1,Sucre,2794,Sucre,103,Esc. Mariscal De Ayacucho,1000637,1,240,196,8,10,214,196,214
1,Oropeza,1,Sucre,2794,Sucre,103,Esc. Mariscal De Ayacucho,1000647,2,244,195,6,16,217,195,217
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004727,1,240,203,2,13,218,203,218
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004737,2,240,186,3,16,205,186,205
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004777,6,240,183,4,13,200,183,200
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004797,8,240,183,11,14,208,183,208
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004827,11,240,182,5,23,210,182,210
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004837,12,240,194,5,20,219,194,219
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004867,15,221,172,9,12,193,172,193
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005277,1,240,178,9,17,204,178,204
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005317,5,240,181,6,21,208,181,208
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005327,6,240,157,13,18,188,157,188
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005347,8,240,189,3,19,211,189,211
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005367,10,240,164,3,34,201,164,201
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005377,11,240,167,8,29,204,167,204
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005387,12,240,175,5,24,204,175,204
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003197,1,240,194,3,15,212,194,212
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003217,3,240,203,4,15,222,203,222
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003227,4,240,191,2,14,207,191,207
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003237,5,240,199,10,12,221,199,221
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003247,6,93,81,2,5,88,81,88
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1000967,1,240,204,3,7,214,204,214
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1000977,2,240,179,8,21,208,179,208
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1000987,3,240,177,7,22,206,177,206
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001007,5,240,184,7,12,203,184,203
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001017,6,240,182,4,14,200,182,200
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001027,7,240,195,6,13,214,195,214
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001067,11,240,190,4,15,209,190,209
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004397,7,240,198,2,13,213,198,213
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004407,8,240,188,3,12,203,188,203
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004417,9,240,200,4,11,215,200,215
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004447,12,240,191,6,12,209,191,209
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003757,1,240,169,8,29,206,169,206
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003777,3,240,185,8,23,216,185,216
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003807,6,240,187,7,18,212,187,212
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003837,9,240,193,4,20,217,193,217
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003857,11,240,193,2,24,219,193,219
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003867,12,240,171,7,23,201,171,201
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003877,13,240,197,4,14,215,197,215
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003887,14,240,185,14,16,215,185,215
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003927,18,240,197,6,14,217,197,217
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003937,19,240,183,9,20,212,183,212
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001147,1,240,180,7,22,209,180,209
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001157,2,240,183,5,15,203,183,203
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001167,3,240,195,7,15,217,195,217
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001177,4,240,187,6,19,212,187,212
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001187,5,106,82,2,7,91,82,91
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000707,1,240,193,4,10,207,193,207
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000717,2,240,198,8,7,213,198,213
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000727,3,240,182,6,8,196,182,196
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000737,4,240,197,3,13,213,197,213
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000747,5,240,191,7,10,208,191,208
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000767,7,189,157,3,8,168,157,168
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000777,1,240,188,0,19,207,188,207
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000787,2,240,183,2,13,198,183,198
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000797,3,240,185,5,12,202,185,202
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000807,4,240,177,6,11,194,177,194
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000817,5,74,62,0,6,68,62,68
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009487,8,240,195,6,10,211,195,211
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009497,9,187,144,6,18,168,144,168
