CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AGN,LIBRE,NGP,PATRIA-UNIDOS,MTS,FRI,XS-CH,A-UPP
1,Oropeza,1,Sucre,2794,Sucre,101,Colegio Junin,1001091,1,58,28,9,36,2,5,3,3
1,Oropeza,1,Sucre,2794,Sucre,101,Colegio Junin,1001101,2,38,20,6,36,2,4,7,4
1,Oropeza,1,Sucre,2794,Sucre,101,Colegio Junin,1001111,3,63,31,5,34,3,3,1,3
1,Oropeza,1,Sucre,2794,Sucre,101,Colegio Junin,1001121,4,57,19,3,41,2,7,6,4
1,Oropeza,1,Sucre,2794,Sucre,101,Colegio Junin,1001131,5,26,17,3,31,2,4,1,0
1,Oropeza,1,Sucre,2794,Sucre,103,Esc. Mariscal De Ayacucho,1000631,1,41,24,5,39,0,7,7,7
1,Oropeza,1,Sucre,2794,Sucre,103,Esc. Mariscal De Ayacucho,1000641,2,69,21,6,35,2,4,4,1
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004721,1,53,19,4,56,2,4,6,3
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004731,2,56,26,6,43,2,4,3,4
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004771,6,60,18,6,36,6,5,6,2
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004791,8,48,19,5,57,7,3,9,6
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004801,9,48,20,7,35,2,10,6,4
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004811,10,59,18,4,51,2,3,5,3
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004821,11,55,17,9,45,2,3,4,2
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004831,12,57,23,6,53,2,7,1,2
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004841,13,53,17,6,55,3,6,2,6
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004851,14,44,29,8,43,6,7,7,7
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005271,1,33,13,10,39,5,7,12,6
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005311,5,33,14,5,42,7,7,6,6
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005321,6,25,20,2,27,1,13,5,5
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005341,8,48,18,4,46,0,6,6,6
