CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PATRIA-UNIDOS,MTS,A.S.,APP,DEMOCRATAS,A-UPP,PDC,UN,CAOP,APB-SUMATE,LIBRE,NGP,CAOCH,CONACH-W,CSUTOAPCH,A-P,ASCAP,JAP,S-P,MNR,POR
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003507,1,18,40,11,6,0,0,3,3,1,9,7,26,,,,,1,6,15,42,
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003517,2,19,42,22,5,0,0,3,8,1,19,6,24,,,,,3,6,13,22,
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003527,3,9,31,11,10,0,2,2,4,3,10,10,30,,,,,3,16,19,34,
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003537,4,13,33,10,1,2,0,1,12,1,14,5,30,,,,,5,10,14,41,
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003547,5,18,32,19,7,0,3,4,3,0,21,10,21,,,,,3,12,19,33,
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003557,6,9,15,4,1,1,1,0,1,2,9,2,11,,,,,1,4,4,19,
1,Tomás Frías,1,Potosí,1494,Potosí,2,Col. Carlos Medinaceli,5003567,1,13,25,25,11,4,1,1,4,0,16,14,28,,,,,1,6,13,27,
1,Tomás Frías,1,Potosí,1494,Potosí,2,Col. Carlos Medinaceli,5003577,2,21,47,20,6,0,1,1,4,2,10,9,22,,,,,8,8,15,30,
1,Tomás Frías,1,Potosí,1494,Potosí,2,Col. Carlos Medinaceli,5003587,3,21,29,22,3,2,0,1,5,3,18,10,22,,,,,3,9,19,32,
1,Tomás Frías,1,Potosí,1494,Potosí,2,Col. Carlos Medinaceli,5003597,4,11,21,2,4,2,1,0,3,3,11,7,21,,,,,4,9,14,21,
1,Tomás Frías,1,Potosí,1494,Potosí,4,Esc. Modesto Omiste,5003107,1,24,34,14,11,0,3,1,5,1,8,8,29,,,,,2,11,15,43,
