CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,UPP,MDA,MTS,LIBRE-PANDO,MNR,FSUTCP,FRI,NGP,A-UPP,APB-SUMATE
1,Nicolás Suárez,1,Cobija,2773,Cobija,25035,U.E. Defensores Del Acre,9000651,2,6,25,11,45,7,0,18,6,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25035,U.E. Defensores Del Acre,9000661,3,11,19,10,39,5,0,22,6,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25035,U.E. Defensores Del Acre,9000731,10,8,33,2,63,7,0,14,6,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,26076,U. E. Juan Evo Morales Ayma,9000751,1,15,36,5,33,10,0,12,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,26076,U. E. Juan Evo Morales Ayma,9000761,2,8,34,7,42,4,0,12,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,9000771,1,9,28,12,69,4,0,9,7,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,9000781,2,14,41,5,84,4,0,8,8,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,9000791,3,10,32,3,75,4,0,15,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,9000801,4,3,5,2,15,3,0,1,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000811,1,8,27,16,48,6,0,19,10,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000821,2,5,41,8,57,4,0,13,5,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000831,3,7,23,9,50,10,0,14,5,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000841,4,8,21,9,56,4,0,12,6,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000851,5,2,15,2,24,1,0,6,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000861,1,11,18,12,51,4,0,11,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000871,2,5,30,5,42,5,0,11,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000881,3,10,23,2,59,6,0,14,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000901,5,8,26,9,49,2,0,8,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000911,6,11,27,9,49,2,0,13,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000921,7,7,27,13,51,5,0,12,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000931,8,0,1,1,4,1,0,2,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9000941,1,13,17,11,55,10,0,13,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9000961,3,4,17,10,43,8,0,12,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9000971,4,7,20,10,50,4,0,10,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9000991,6,4,25,14,42,11,0,16,5,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9001001,7,5,18,16,36,7,0,19,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9001011,8,8,16,20,53,2,0,13,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9001021,9,5,22,8,57,7,0,14,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9001031,10,7,20,13,46,5,0,13,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9001041,11,12,30,13,52,9,0,9,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9001051,12,9,25,8,52,7,0,6,7,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9001061,13,9,19,11,25,3,0,8,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25034,U. E. Juana Azurduy De Padilla,9001071,1,7,26,11,67,7,0,11,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25034,U. E. Juana Azurduy De Padilla,9001081,2,12,31,5,54,13,0,13,7,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25034,U. E. Juana Azurduy De Padilla,9001091,3,8,19,12,55,5,0,11,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25037,Kínder Víctor León Arueta,9001101,1,15,21,4,67,13,0,8,6,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25036,U. E. Vaca Diez (Medio),9001111,1,15,30,10,61,7,0,11,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25036,U. E. Vaca Diez (Medio),9001121,2,11,25,5,50,7,0,14,8,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25036,U. E. Vaca Diez (Medio),9001131,3,9,33,8,41,11,0,14,7,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25036,U. E. Vaca Diez (Medio),9001141,4,9,25,3,60,8,0,12,10,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25036,U. E. Vaca Diez (Medio),9001161,6,10,27,3,56,3,0,9,5,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25042,U.E. Villa Cruz,9001171,1,14,29,5,59,10,0,12,6,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25042,U.E. Villa Cruz,9001181,2,12,24,9,73,6,0,25,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,32002,INCOS Pando,9001191,1,10,20,11,73,8,0,9,9,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,32002,INCOS Pando,9001201,2,9,18,13,53,20,0,15,9,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,32002,INCOS Pando,9001211,3,13,21,6,61,6,0,18,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,32002,INCOS Pando,9001221,4,16,32,8,63,7,0,13,7,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,32002,INCOS Pando,9001231,5,5,33,7,52,3,0,14,7,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,32002,INCOS Pando,9001251,7,9,26,14,77,5,0,14,5,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,32002,INCOS Pando,9001261,8,10,28,4,71,4,0,19,8,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,32002,INCOS Pando,9001271,9,3,9,3,18,2,0,2,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25033,U. E. Sofia Calpiñeiro,9001281,1,12,18,7,83,4,0,15,7,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25033,U. E. Sofia Calpiñeiro,9001291,2,12,28,8,69,1,0,17,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25033,U. E. Sofia Calpiñeiro,9001301,3,11,25,6,71,5,0,8,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25033,U. E. Sofia Calpiñeiro,9001311,4,12,28,9,70,2,0,4,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25938,U.E. Héroes de la Distancia,9001331,1,9,21,5,73,3,0,11,7,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25938,U.E. Héroes de la Distancia,9001351,3,13,28,4,83,2,0,10,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001371,1,9,30,7,62,6,0,17,7,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001381,2,5,26,7,57,6,0,13,18,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001391,3,4,30,9,54,9,0,8,12,,
