CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,SOMOS,JACHAJAKISASOLFESORC,AORA,PATRIA-ORURO,A-UPP,NGP,LIBRE,PDC,UN,APB-SUMATE,P.P.,FRI
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003261,2,7,19,35,7,17,11,11,20,,1,6,,
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003271,3,7,14,21,11,8,9,9,18,,1,6,,
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003291,5,8,8,36,11,12,6,6,21,,3,5,,
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003301,6,7,15,39,12,10,8,13,23,,4,7,,
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003321,8,1,4,6,0,1,2,0,2,,0,0,,
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003441,1,15,17,30,12,9,10,22,14,,5,2,,
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003481,5,8,18,31,19,11,4,24,15,,4,5,,
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003491,6,12,14,32,15,9,9,13,13,,1,3,,
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003501,7,5,20,35,17,6,9,11,19,,7,4,,
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003511,8,12,9,39,18,11,5,12,8,,2,8,,
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003521,9,10,16,24,25,7,5,12,16,,2,5,,
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003531,10,6,16,24,9,5,8,19,8,,2,6,,
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002291,12,7,12,29,9,15,10,17,30,,3,7,,
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002301,13,9,14,38,10,15,11,13,22,,4,5,,
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002321,15,5,10,35,10,11,7,18,15,,5,5,,
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002341,17,6,6,32,8,19,10,14,22,,3,6,,
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004561,8,5,22,28,12,13,7,13,23,,4,8,,
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004571,9,5,18,35,8,14,9,17,22,,5,7,,
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004581,10,3,17,34,13,16,6,2,22,,3,6,,
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004591,11,2,18,34,10,9,13,17,11,,4,5,,
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004601,12,5,15,21,16,11,12,18,28,,2,8,,
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004611,13,5,14,30,6,18,10,24,22,,5,7,,
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004621,14,4,13,31,13,8,11,16,26,,7,7,,
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000531,1,2,12,34,8,8,27,8,41,,3,9,,
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000541,2,3,5,37,11,5,3,10,32,,3,8,,
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000551,3,6,7,38,3,13,16,8,31,,5,10,,
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000561,4,0,12,30,4,13,12,8,42,,11,11,,
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000571,5,0,1,4,0,1,0,3,16,,0,1,,
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000641,1,3,9,44,5,17,7,11,42,,8,7,,
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000651,2,2,9,31,5,9,5,7,34,,11,15,,
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000661,3,5,16,27,8,20,3,11,44,,6,10,,
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000671,4,0,17,25,5,15,9,17,44,,11,10,,
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000681,5,6,10,27,6,21,10,14,43,,7,5,,
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000691,6,3,9,37,1,13,9,10,43,,9,13,,
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000701,7,3,1,8,1,3,1,3,15,,1,1,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006441,2,3,17,36,4,12,15,6,33,,4,5,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006451,3,5,14,36,8,15,13,13,27,,7,8,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006461,4,3,18,29,6,20,7,8,48,,6,11,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006471,5,1,18,30,2,17,2,14,29,,11,12,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006481,6,4,12,43,4,22,6,10,42,,8,3,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006491,7,2,21,23,7,20,12,7,27,,2,6,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006501,8,6,10,34,9,22,8,13,38,,6,6,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006511,9,2,12,27,1,9,8,3,30,,6,6,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006521,10,2,20,45,6,22,8,16,31,,7,8,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006531,11,4,13,25,5,17,6,17,33,,10,8,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006541,12,1,20,33,2,18,7,12,38,,8,10,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006551,13,8,12,34,9,22,9,13,27,,11,15,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006561,14,4,16,25,6,18,7,8,45,,4,11,,
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006571,15,1,2,18,1,4,1,2,4,,3,2,,
1,Cercado,1,Oruro,2059,Oruro,89,CEMEI,4006581,1,1,15,40,7,17,7,13,27,,10,10,,
1,Cercado,1,Oruro,2059,Oruro,89,CEMEI,4006591,2,3,16,29,12,23,5,10,34,,8,6,,
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006601,1,6,12,28,4,21,3,15,39,,6,10,,
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006621,3,3,13,35,8,21,8,7,34,,9,10,,
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006631,4,5,14,23,7,31,11,11,27,,9,15,,
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006711,1,5,19,36,9,15,7,9,36,,8,7,,
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006721,2,13,16,32,6,13,12,11,25,,6,10,,
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006731,3,7,16,27,5,19,10,13,31,,7,4,,
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006741,4,6,22,31,7,19,5,10,28,,6,9,,
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006751,5,6,10,24,5,14,7,12,28,,4,11,,
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006761,6,7,16,35,11,11,8,9,31,,8,8,,
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006771,7,6,17,32,14,16,7,10,17,,10,5,,
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006781,8,1,9,12,3,7,3,4,15,,5,2,,
1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,4002711,1,4,10,21,25,7,8,14,6,,2,9,,
1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,4002731,3,1,7,18,14,8,14,7,13,,5,10,,
1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,4002741,4,1,2,6,10,0,3,4,3,,3,4,,
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002801,6,5,15,38,4,21,9,7,29,,2,8,,
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002811,7,6,10,34,8,19,8,18,24,,6,7,,
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002821,8,5,20,35,5,14,9,12,19,,4,11,,
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002831,9,8,28,24,7,17,8,15,26,,9,4,,
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002841,10,5,19,31,6,10,13,8,16,,4,6,,
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002851,11,5,17,29,7,16,4,14,24,,7,7,,
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002861,12,5,17,34,4,14,8,16,33,,5,9,,
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002881,14,9,12,25,9,13,2,10,29,,7,7,,
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002891,15,5,7,32,7,23,8,17,21,,4,9,,
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002901,16,3,16,32,8,13,13,14,29,,7,11,,
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002911,17,2,4,10,1,4,0,2,14,,2,1,,
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002921,1,3,7,27,4,19,9,16,34,,7,9,,
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002931,2,7,13,21,5,20,9,20,24,,8,6,,
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002941,3,5,21,33,6,14,8,14,23,,5,10,,
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002971,6,4,16,26,8,15,11,10,30,,6,20,,
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000711,1,5,19,40,8,13,6,15,28,,5,14,,
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000721,2,5,10,43,14,15,7,11,25,,11,7,,
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000731,3,9,12,28,12,15,7,15,29,,3,4,,
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000741,4,4,19,40,7,9,6,10,35,,7,16,,
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000751,5,10,15,30,9,13,9,15,32,,7,10,,
