CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,DEMOCRATAS,PDC,ISA,CDC,T,UNIR,PATRIA,AIR,NGP,SOMOSCHACO,MATE,APB-SUMATE,A-UPP,CCGT,FAU
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000027,2,7,0,18,1,,65,0,39,,0,,,,5,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000037,3,6,1,16,1,,72,1,25,,4,,,,5,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000047,4,1,1,16,8,,61,0,20,,3,,,,6,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000057,5,6,0,25,3,,55,0,21,,1,,,,3,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000067,6,4,0,24,4,,50,0,24,,2,,,,1,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000077,7,5,0,14,2,,62,0,20,,2,,,,2,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000087,8,6,0,19,6,,55,0,19,,0,,,,10,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000127,12,2,0,20,2,,69,0,18,,0,,,,2,,
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000337,3,3,0,15,3,,55,0,30,,2,,,,5,,
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000347,4,5,0,10,2,,67,0,27,,4,,,,1,,
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000357,5,3,0,4,2,,70,0,32,,4,,,,1,,
1,Cercado,1,Tarija,1880,Pampa Redonda Centro,1,U.E. Luis De Fuentes,6000467,2,5,0,6,2,,41,3,12,,0,,,,2,,
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000477,1,2,1,10,5,,42,3,19,,5,,,,4,,
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000507,4,0,0,8,2,,35,2,19,,7,,,,3,,
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000537,7,2,1,15,4,,37,3,17,,3,,,,5,,
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000557,1,13,1,8,2,,70,3,26,,2,,,,3,,
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000597,5,15,2,8,2,,39,0,39,,2,,,,2,,
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000617,7,12,0,6,1,,34,1,36,,3,,,,2,,
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000827,1,2,1,9,1,,77,10,56,,3,,,,0,,
