CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PATRIA,MTS,CDC,PDC,ISA,APB-SUMATE,A-UPP,NGP
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000011,1,42,2,28,22,7,1,8,2
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000021,2,39,8,48,22,3,1,4,5
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000031,3,34,5,39,22,3,2,5,4
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000041,4,28,5,38,20,12,0,5,7
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000051,5,24,4,41,14,2,2,8,6
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000061,6,27,5,29,24,4,2,2,11
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000071,7,30,5,37,12,5,1,7,2
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000081,8,30,3,39,15,2,1,7,6
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000101,10,38,7,38,23,6,0,4,4
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000111,11,34,5,43,16,6,1,4,5
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000121,12,22,3,55,12,0,0,1,5
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000311,1,25,2,45,6,3,2,4,3
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000321,2,34,2,57,11,3,1,1,0
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000331,3,33,6,47,17,0,2,6,6
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000341,4,35,7,42,17,5,1,1,5
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000351,5,30,8,58,4,3,1,1,3
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000361,6,13,0,24,3,1,1,1,3
1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,6000391,3,25,8,21,13,9,0,3,3
