CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AGN,LIBRE,PATRIA-UNIDOS,MTS,XS-CH,FRI,NGP,A-UPP
1,Oropeza,1,Sucre,2794,Sucre,106,Kinder San Vicente De Paul,1000861,5,65,21,55,2,14,5,,5
1,Oropeza,1,Sucre,2794,Sucre,106,Kinder San Vicente De Paul,1000871,6,61,23,34,0,10,7,,4
1,Oropeza,1,Sucre,2794,Sucre,106,Kinder San Vicente De Paul,1000881,7,70,27,38,4,14,5,,8
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004721,1,69,17,68,0,19,3,,7
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004731,2,57,26,48,2,10,8,,8
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004741,3,60,23,66,2,13,3,,4
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004761,5,60,19,64,2,22,3,,3
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004771,6,73,19,41,4,16,6,,1
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004781,7,44,20,64,2,19,2,,6
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004791,8,60,18,65,4,19,1,,4
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004801,9,65,20,50,2,14,5,,3
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004811,10,69,14,62,2,12,3,,3
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004821,11,69,13,50,2,14,4,,4
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004831,12,67,29,56,2,12,1,,3
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004841,13,67,17,63,3,13,3,,6
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004851,14,54,28,47,5,12,8,,10
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004861,15,58,25,45,7,11,2,,4
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008511,1,35,8,44,14,17,3,,9
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008521,2,42,11,51,9,12,2,,6
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008551,5,36,7,39,10,14,9,,6
