CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,UNPA,NGP,MTS,UNIDOS-,PATRIA-UNIDOS,LIBRE,SOLUCIONES-CON-TODOS,PDC,A-UPP,UN,POKUY,FRI,APB-SUMATE,U.P.C,CREE,UNE,FAP,F-S,ARI,TU,PPS
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002847,12,,9,0,8,8,11,12,3,19,,,3,126,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002857,13,,14,3,12,7,11,13,2,11,,,1,130,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002877,15,,12,3,14,12,11,8,3,19,,,4,117,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001387,1,,13,3,0,14,3,10,6,16,,,1,82,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001427,5,,11,8,8,7,12,8,5,36,,,2,92,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001437,6,,22,2,5,8,6,22,3,27,,,0,114,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001487,11,,14,3,12,7,11,10,2,20,,,6,120,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001497,12,,9,7,11,8,9,9,1,31,,,6,108,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001547,17,,13,4,9,12,13,13,1,34,,,5,95,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001167,4,,28,1,3,9,15,19,2,10,,,1,111,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000437,2,,25,1,2,4,16,21,1,15,,,4,112,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000447,3,,17,2,9,10,12,11,3,29,,,4,103,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000497,8,,16,3,7,17,10,12,4,13,,,3,108,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000507,9,,14,4,10,11,7,16,1,19,,,6,110,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000517,10,,16,2,11,6,7,14,1,22,,,3,115,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000527,11,,20,4,7,8,9,14,1,15,,,1,117,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002157,5,,10,3,10,9,17,14,1,12,,,1,124,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002167,6,,17,3,6,7,19,15,3,18,,,0,99,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002287,18,,12,2,8,9,10,16,4,8,,,3,120,,,,,,,,
