CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MNR,PATRIA-UNIDOS
1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,8000181,1,73,111
1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,8000191,2,86,85
1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,8000201,3,75,105
1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,8000211,4,5,6
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000221,1,53,127
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000231,2,65,111
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000241,3,60,115
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000251,4,54,113
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000261,5,61,124
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000271,6,57,111
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000901,1,81,97
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000911,2,77,96
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000921,3,86,87
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000931,4,83,93
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000941,5,83,99
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000951,6,71,119
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000961,7,98,81
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000971,8,79,100
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000981,9,94,84
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000991,10,86,101
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001001,11,92,85
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001011,12,83,112
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001021,13,71,103
