CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,SOLUCIONES-CON-TODOS,PATRIA-UNIDOS,LIBRE,MTS,UNIDOS-,NGP,PDC,FRI,A-UPP,APB-SUMATE
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002841,12,3,9,12,41,3,9,2,1,28,88
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002871,15,2,16,10,27,3,8,1,1,34,94
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001381,1,3,15,8,29,1,3,4,1,24,65
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001421,5,4,9,7,48,2,7,3,2,36,69
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001431,6,3,16,5,49,2,7,2,2,32,90
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001471,10,4,13,10,52,2,9,2,2,30,64
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001481,11,4,8,11,48,5,3,1,5,25,95
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001491,12,3,8,7,49,2,6,1,7,33,83
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001541,17,3,19,5,35,5,11,0,5,45,71
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001131,1,3,13,12,43,1,5,2,2,24,89
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001161,4,10,8,19,32,4,9,4,3,16,87
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000431,2,4,15,12,52,1,6,0,0,22,87
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000441,3,3,7,9,45,3,5,3,3,36,76
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000461,5,4,14,10,44,3,6,2,0,35,75
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000471,6,5,17,8,39,4,8,5,3,38,62
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000491,8,3,19,7,40,0,7,1,1,20,92
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000501,9,4,14,4,43,7,5,0,5,30,86
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000511,10,3,6,12,35,2,3,3,5,26,98
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000521,11,2,13,8,30,2,8,1,4,20,104
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002151,5,5,17,16,32,6,6,2,1,21,92
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002161,6,0,13,16,33,2,10,2,4,23,82
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002281,18,1,8,8,48,2,9,3,6,19,87
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002331,23,6,17,20,27,2,10,5,4,12,100
1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3002341,24,2,11,14,23,4,4,2,0,6,72
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000111,2,4,19,21,26,2,6,0,1,15,101
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000121,3,7,24,16,29,2,4,1,2,11,100
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000141,5,10,12,18,35,1,5,2,2,22,82
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000151,6,5,18,20,32,4,9,2,6,19,84
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000201,11,5,23,20,29,1,5,3,3,21,93
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000211,12,9,19,22,38,4,4,2,1,19,80
1,Cercado,1,Cochabamba,821,Cochabamba,113,Instituto Eduardo Laredo,3017481,1,4,31,17,31,0,5,3,3,7,91
1,Cercado,1,Cochabamba,821,Cochabamba,113,Instituto Eduardo Laredo,3017491,2,3,18,22,27,5,6,3,0,9,89
1,Cercado,1,Cochabamba,821,Cochabamba,113,Instituto Eduardo Laredo,3017511,4,4,13,19,29,1,7,1,9,10,92
1,Cercado,1,Cochabamba,821,Cochabamba,113,Instituto Eduardo Laredo,3017521,5,1,29,28,17,2,5,1,1,10,85
1,Cercado,1,Cochabamba,821,Cochabamba,117,Escuela Maryknoll,3021061,1,7,17,18,31,1,1,1,4,8,105
1,Cercado,1,Cochabamba,821,Cochabamba,117,Escuela Maryknoll,3021071,2,8,21,18,33,0,1,5,4,6,98
1,Cercado,1,Cochabamba,821,Cochabamba,117,Escuela Maryknoll,3021081,3,8,24,20,13,4,1,2,2,4,104
1,Cercado,1,Cochabamba,821,Cochabamba,117,Escuela Maryknoll,3021091,4,5,23,35,25,2,2,5,3,6,87
1,Cercado,1,Cochabamba,821,Cochabamba,117,Escuela Maryknoll,3021101,5,3,26,22,23,0,3,2,5,9,91
